?o	?gid	?name	?wkt
321	100999	Bierfeld	"POINT(6.949 49.608)"
322	96934	Einöllen	"POINT(7.638 49.608)"
323	99803	Offstein	"POINT(8.238 49.606)"
324	99631	Niederalben	"POINT(7.467 49.604)"
325	97578	Irsch	"POINT(6.593 49.604)"
326	100225	Mandern	"POINT(6.768 49.602)"
327	101011	Kahren	"POINT(6.508 49.597)"
328	95904	Göllheim	"POINT(8.048 49.594)"
329	97519	Nohfelden	"POINT(7.143 49.587)"
330	98716	Imsbach	"POINT(7.877 49.583)"
331	98258	Bobenheim-Roxheim	"POINT(8.361 49.582)"
332	99854	Niederkirchen	"POINT(7.696 49.578)"
333	96045	Dennweiler-Frohnbach	"POINT(7.385 49.577)"
334	94791	Gehrweiler	"POINT(7.774 49.577)"
335	94202	Grossniedesheim	"POINT(8.313 49.576)"
336	100165	Kostenbach	"POINT(6.932 49.575)"
337	95599	Serrig	"POINT(6.573 49.575)"
338	100939	Bosen	"POINT(7.055 49.57)"
339	93859	Bedesbach	"POINT(7.457 49.567)"
340	96338	Dirmstein	"POINT(8.251 49.567)"
341	97732	Wolfersweiler	"POINT(7.175 49.566)"
342	99897	Greimerath	"POINT(6.682 49.562)"
343	96247	Morscholz	"POINT(6.862 49.559)"
344	97099	Essweiler	"POINT(7.564 49.558)"
345	98116	Höringen	"POINT(7.797 49.556)"
346	97837	Freisen	"POINT(7.249 49.553)"
347	100513	Kreimbach	"POINT(7.633 49.553)"
348	95422	Münchweiler an der Alsenz	"POINT(7.885 49.551)"
349	95649	Mörsch	"POINT(8.378 49.551)"
350	96144	Kirf	"POINT(6.48 49.551)"
351	94113	Waldhölzbach	"POINT(6.76 49.55)"
352	99870	Schallodenbach	"POINT(7.715 49.545)"
353	95574	Reichweiler	"POINT(7.29 49.542)"
354	94502	Freudenburg	"POINT(6.533 49.542)"
355	98465	Tiefenthal	"POINT(8.103 49.539)"
356	98074	Kirchheim an der Weinstrasse	"POINT(8.185 49.538)"
357	100643	Ramsen	"POINT(8.011 49.537)"
358	98360	Primstal	"POINT(6.976 49.534)"
359	97958	Haschbach am Remigiusberg	"POINT(7.43 49.525)"
360	100582	Föckelberg	"POINT(7.49 49.525)"
361	94403	Neuhemsbach	"POINT(7.923 49.523)"
362	98799	Namborn	"POINT(7.14 49.521)"
363	99866	Kollweiler	"POINT(7.579 49.515)"
364	94182	Herchweiler	"POINT(7.296 49.514)"
365	100176	Weisenheim am Berg	"POINT(8.151 49.513)"
366	96833	Lambsheim	"POINT(8.288 49.513)"
367	100924	Saarhölzbach	"POINT(6.611 49.511)"
368	98823	Konken	"POINT(7.35 49.508)"
369	99556	Oberleuken	"POINT(6.467 49.507)"
370	100235	Bardenbach	"POINT(6.869 49.506)"
371	98870	Hausbach	"POINT(6.689 49.505)"
372	99905	Carlsberg	"POINT(8.042 49.504)"
373	95337	Katzweiler	"POINT(7.699 49.503)"
374	94595	Baltersweiler	"POINT(7.164 49.496)"
375	100384	Oggersheim	"POINT(8.377 49.492)"
376	95088	Mehlingen	"POINT(7.856 49.492)"
377	99221	Kallstadt	"POINT(8.175 49.492)"
378	98306	Lindscheid	"POINT(6.928 49.491)"
379	100369	Hoof	"POINT(7.245 49.489)"
380	99938	Wahlen	"POINT(6.782 49.486)"
381	100141	Rehweiler	"POINT(7.442 49.486)"
382	99473	Enkenbach-Alsenborn	"POINT(7.898 49.485)"
383	99841	Tholey	"POINT(7.038 49.484)"
384	97638	Mitte / Mitte / Ludwigshafen am Rhein / Ludwigshafen am Rhein	"POINT(8.447 49.481)"
385	97172	Erlenbach	"POINT(7.77 49.481)"
386	98493	Kottweiler-Schwanden	"POINT(7.539 49.476)"
387	98114	Rodenbach	"POINT(7.65 49.475)"
388	95390	Siegelbach	"POINT(7.691 49.47)"
389	99066	Michelbach	"POINT(6.839 49.463)"
390	94297	Ellerstadt	"POINT(8.26 49.462)"
391	95442	Hardenburg	"POINT(8.129 49.461)"
392	95844	Bethingen	"POINT(6.53 49.46)"
393	96435	Maudach	"POINT(8.378 49.456)"
394	97952	Fischbach	"POINT(7.912 49.454)"
395	96473	Hargarten	"POINT(6.736 49.454)"
396	95939	Steinbach am Glan	"POINT(7.384 49.453)"
397	95417	Ballern	"POINT(6.604 49.45)"
398	95386	Ramstein-Miesenbach / Ramstein-Miesenbach / Ramstein / Ramstein	"POINT(7.557 49.445)"
399	100327	Kaiserslautern	"POINT(7.76 49.442)"
400	100704	Wachenheim an der Weinstrasse	"POINT(8.181 49.439)"
